"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 16:42:17,4,"Chm2","Chm3","Chm4",-115.8
2016-03-22 16:44:18,4,"Chm8","Chm8","Chm4",-139.9
2016-03-22 16:46:19,4,"Chm2","Chm3","Chm4",-115.1
2016-03-22 16:48:20,4,"Chm8","ABGD","Chm5",222.2
2016-03-22 16:50:28,4,"Chm8","Chm8","Chm5",-139.2
2016-03-22 16:52:39,4,"Chm3","Chm4","Chm5",-129.7
2016-03-22 16:54:40,4,"Chm8","Chm8","Chm5",-140.3
2016-03-22 16:56:41,4,"Chm3","Chm4","Chm5",-134.3
2016-03-22 16:58:42,4,"Chm8","Chm8","Chm5",-140.5
2016-03-22 17:00:43,4,"Chm3","Chm4","Chm5",-129.7
2016-03-22 17:02:44,4,"Chm8","CAL1","Chm6",38.09
2016-03-22 17:04:45,4,"Chm8","CAL0","Chm6",-205.2
2016-03-22 17:04:47,4,"Chm8","ABGD","Chm6",-205.2
2016-03-22 17:06:48,4,"Chm8","Chm8","Chm6",73.43
2016-03-22 17:08:59,4,"Chm4","Chm5","Chm6",-115.8
2016-03-22 17:11:00,4,"Chm8","Chm8","Chm6",-120.7
2016-03-22 17:13:01,4,"Chm4","Chm5","Chm6",-123.3
2016-03-22 17:15:02,4,"Chm8","Chm8","Chm6",-127.3
2016-03-22 17:17:03,4,"Chm4","Chm5","Chm6",-115.4
2016-03-22 17:19:04,4,"Chm8","ABGD","Chm7",146.9
2016-03-22 17:21:05,4,"Chm8","Chm8","Chm7",-143.9
2016-03-22 17:23:16,4,"Chm5","Chm6","Chm7",-146
2016-03-22 17:25:17,4,"Chm8","Chm8","Chm7",-119.7
2016-03-22 17:27:18,4,"Chm5","Chm6","Chm7",-123.4
2016-03-22 17:29:19,4,"Chm8","Chm8","Chm7",-175.4
2016-03-22 17:31:20,4,"Chm5","Chm6","Chm7",-175.9
2016-03-22 17:33:21,4,"Chm8","ABGD","Chm1",124.5
2016-03-22 17:35:22,4,"Chm8","Chm8","Chm1",-210.8
2016-03-22 17:37:33,4,"Chm6","Chm7","Chm1",-124.6
2016-03-22 17:39:34,4,"Chm8","Chm8","Chm1",-129.5
2016-03-22 17:41:35,4,"Chm6","Chm7","Chm1",-124.6
2016-03-22 17:43:36,4,"Chm8","Chm8","Chm1",-113.2
2016-03-22 17:45:37,4,"Chm6","Chm7","Chm1",-123.3
2016-03-22 17:47:38,4,"Chm8","ABGD","Chm2",86.9
2016-03-22 17:49:39,4,"Chm8","Chm8","Chm2",-143.9
2016-03-22 17:51:50,4,"Chm7","Chm1","Chm2",-108.8
2016-03-22 17:53:51,4,"Chm8","Chm8","Chm2",-139.7
2016-03-22 17:55:52,4,"Chm7","Chm1","Chm2",-108.5
2016-03-22 17:57:54,4,"Chm8","Chm8","Chm2",-139.4
2016-03-22 17:59:55,4,"Chm7","Chm1","Chm2",-108.8
2016-03-22 18:01:56,4,"Chm8","Chm8","Chm8",-139.2
2016-03-22 18:01:58,4,"Chm8","CAL1","Chm3",55.49
2016-03-22 18:03:59,4,"Chm8","CAL0","Chm3",-206.6
2016-03-22 18:04:01,4,"Chm8","N2ON","Chm3",78.63
